latitude;longitude;date;confidence;Fecha_inicio;Fecha_fin
8,15465;-76,46855;2024-09-23;nominal;2024-09-19;2024-10-03
8,15455;-76,46895;2024-09-23;nominal;2024-09-19;2024-10-03
8,15455;-76,46885;2024-09-23;nominal;2024-09-19;2024-10-03
8,15455;-76,46875;2024-09-23;nominal;2024-09-19;2024-10-03
8,15455;-76,46865;2024-09-23;nominal;2024-09-19;2024-10-03
8,15455;-76,46855;2024-09-23;nominal;2024-09-19;2024-10-03
8,15445;-76,44045;2024-09-23;nominal;2024-09-19;2024-10-03
8,15445;-76,44035;2024-09-23;nominal;2024-09-19;2024-10-03
8,15435;-76,44045;2024-09-23;nominal;2024-09-19;2024-10-03
8,15435;-76,44035;2024-09-23;nominal;2024-09-19;2024-10-03
8,15175;-76,41625;2024-09-23;nominal;2024-09-19;2024-10-03
8,15175;-76,41615;2024-09-23;nominal;2024-09-19;2024-10-03
8,15175;-76,41605;2024-09-23;nominal;2024-09-19;2024-10-03
8,15165;-76,41625;2024-09-23;nominal;2024-09-19;2024-10-03
8,15165;-76,41615;2024-09-23;nominal;2024-09-19;2024-10-03
8,15165;-76,41605;2024-09-23;nominal;2024-09-19;2024-10-03
8,15155;-76,41625;2024-09-23;nominal;2024-09-19;2024-10-03
8,15155;-76,41615;2024-09-23;nominal;2024-09-19;2024-10-03
8,15155;-76,41605;2024-09-23;nominal;2024-09-19;2024-10-03
8,15145;-76,45495;2024-09-23;nominal;2024-09-19;2024-10-03
8,15145;-76,45485;2024-09-23;nominal;2024-09-19;2024-10-03
8,15145;-76,41625;2024-09-23;nominal;2024-09-19;2024-10-03
8,15145;-76,41615;2024-09-23;nominal;2024-09-19;2024-10-03
8,15145;-76,41605;2024-09-23;nominal;2024-09-19;2024-10-03
8,15135;-76,45495;2024-09-23;nominal;2024-09-19;2024-10-03
8,15135;-76,45485;2024-09-23;nominal;2024-09-19;2024-10-03
8,15135;-76,41625;2024-09-23;nominal;2024-09-19;2024-10-03
8,15135;-76,41615;2024-09-23;nominal;2024-09-19;2024-10-03
8,15135;-76,41605;2024-09-23;nominal;2024-09-19;2024-10-03
8,15125;-76,41625;2024-09-23;nominal;2024-09-19;2024-10-03
8,15125;-76,41615;2024-09-23;nominal;2024-09-19;2024-10-03
8,15125;-76,41605;2024-09-23;nominal;2024-09-19;2024-10-03
8,15115;-76,41625;2024-09-23;nominal;2024-09-19;2024-10-03
8,15115;-76,41615;2024-09-23;nominal;2024-09-19;2024-10-03
8,15115;-76,41605;2024-09-23;nominal;2024-09-19;2024-10-03
8,15105;-76,41625;2024-09-23;nominal;2024-09-19;2024-10-03
8,15105;-76,41615;2024-09-23;nominal;2024-09-19;2024-10-03
8,15105;-76,41605;2024-09-23;nominal;2024-09-19;2024-10-03
8,15045;-76,45575;2024-09-23;nominal;2024-09-19;2024-10-03
8,15045;-76,45565;2024-09-23;nominal;2024-09-19;2024-10-03
8,15045;-76,45555;2024-09-23;nominal;2024-09-19;2024-10-03
8,15045;-76,45545;2024-09-23;nominal;2024-09-19;2024-10-03
8,15045;-76,45535;2024-09-23;nominal;2024-09-19;2024-10-03
8,15045;-76,45525;2024-09-23;nominal;2024-09-19;2024-10-03
8,15045;-76,45515;2024-09-23;nominal;2024-09-19;2024-10-03
8,15045;-76,45505;2024-09-23;nominal;2024-09-19;2024-10-03
8,15035;-76,45575;2024-09-23;nominal;2024-09-19;2024-10-03
8,15035;-76,45565;2024-09-23;nominal;2024-09-19;2024-10-03
8,15035;-76,45555;2024-09-23;nominal;2024-09-19;2024-10-03
8,15035;-76,45545;2024-09-23;nominal;2024-09-19;2024-10-03
8,15035;-76,45535;2024-09-23;nominal;2024-09-19;2024-10-03
8,15035;-76,45525;2024-09-23;nominal;2024-09-19;2024-10-03
8,15035;-76,45515;2024-09-23;nominal;2024-09-19;2024-10-03
8,15035;-76,45505;2024-09-23;nominal;2024-09-19;2024-10-03
8,15025;-76,48575;2024-09-23;nominal;2024-09-19;2024-10-03
8,15025;-76,48565;2024-09-23;nominal;2024-09-19;2024-10-03
8,15025;-76,48555;2024-09-23;nominal;2024-09-19;2024-10-03
8,15025;-76,45525;2024-09-23;nominal;2024-09-19;2024-10-03
8,15025;-76,45515;2024-09-23;nominal;2024-09-19;2024-10-03
8,15025;-76,45505;2024-09-23;nominal;2024-09-19;2024-10-03
8,15015;-76,48575;2024-09-23;nominal;2024-09-19;2024-10-03
8,15015;-76,48565;2024-09-23;nominal;2024-09-19;2024-10-03
8,15015;-76,48555;2024-09-23;nominal;2024-09-19;2024-10-03
8,15015;-76,45525;2024-09-23;nominal;2024-09-19;2024-10-03
8,15015;-76,45515;2024-09-23;nominal;2024-09-19;2024-10-03
8,15015;-76,45505;2024-09-23;nominal;2024-09-19;2024-10-03
8,15005;-76,48575;2024-09-23;nominal;2024-09-19;2024-10-03
8,15005;-76,48565;2024-09-23;nominal;2024-09-19;2024-10-03
8,15005;-76,48555;2024-09-23;nominal;2024-09-19;2024-10-03
8,15005;-76,45525;2024-09-23;nominal;2024-09-19;2024-10-03
8,15005;-76,45515;2024-09-23;nominal;2024-09-19;2024-10-03
8,15005;-76,45505;2024-09-23;nominal;2024-09-19;2024-10-03
8,14995;-76,48545;2024-09-23;nominal;2024-09-19;2024-10-03
8,14995;-76,48535;2024-09-23;nominal;2024-09-19;2024-10-03
8,14995;-76,45525;2024-09-23;nominal;2024-09-19;2024-10-03
8,14995;-76,45515;2024-09-23;nominal;2024-09-19;2024-10-03
8,14995;-76,45505;2024-09-23;nominal;2024-09-19;2024-10-03
8,14985;-76,48545;2024-09-23;nominal;2024-09-19;2024-10-03
8,14985;-76,48535;2024-09-23;nominal;2024-09-19;2024-10-03
8,14985;-76,45525;2024-09-23;nominal;2024-09-19;2024-10-03
8,14985;-76,45515;2024-09-23;nominal;2024-09-19;2024-10-03
8,14985;-76,45505;2024-09-23;nominal;2024-09-19;2024-10-03
8,14975;-76,48545;2024-09-23;nominal;2024-09-19;2024-10-03
